epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
0.0   0   0.0500   |   0.77914   2.82935   |   1.27644   29.32549  
1.0   1   0.0500   |   0.73633   2.76660   |   1.36073   26.29827  
2.0   2   0.0500   |   0.62040   2.96486   |   0.69230   26.10703  
3.0   3   0.0500   |   0.60539   2.18528   |   0.80715   21.08519  
4.0   4   0.0500   |   0.50744   2.81956   |   0.73480   21.15852  
5.0   5   0.0500   |   0.41900   2.78310   |   0.49894   21.66757  
6.0   6   0.0500   |   0.37406   2.83821   |   0.94055   21.58973  
7.0   7   0.0500   |   0.32005   2.52145   |   0.53597   21.27141  
8.0   8   0.0500   |   0.36128   2.48656   |   1.59056   21.74453  
9.0   9   0.0500   |   0.26471   3.21681   |   0.59545   21.57011  
10.0   10   0.0500   |   0.22737   1.29567   |   0.54457   22.35966  
11.0   11   0.0500   |   0.24671   1.32517   |   2.04758   18.63693  
12.0   12   0.0500   |   0.20613   1.27245   |   0.00304   21.85489  
13.0   13   0.0500   |   0.26892   1.47023   |   3.25372   21.93553  
14.0   14   0.0500   |   0.19414   0.93201   |   5.01180   23.17804  
15.0   15   0.0500   |   0.19390   2.21401   |   3.41940   22.24266  
16.0   16   0.0500   |   0.20996   0.52181   |   0.33149   18.48256  
17.0   17   0.0500   |   0.15420   0.33573   |   4.59696   22.98153  
18.0   18   0.0500   |   0.16100   0.98030   |   4.64785   19.21766  
19.0   19   0.0500   |   0.25100   3.11376   |   4.02488   20.16000  
