epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
0.0   0   0.0500   |   0.77913   2.82935   |   1.27644   29.32547  
1.0   1   0.0500   |   0.73594   2.76314   |   1.29113   26.44966  
2.0   2   0.0500   |   0.62244   3.66309   |   0.43903   26.25199  
3.0   3   0.0500   |   0.56842   3.24618   |   1.28240   21.15774  
4.0   4   0.0500   |   0.52094   5.53459   |   0.80609   23.11351  
5.0   5   0.0500   |   0.41394   1.27729   |   2.29200   23.52386  
6.0   6   0.0500   |   0.38584   1.47640   |   2.70148   23.61587  
7.0   7   0.0500   |   0.33271   4.41453   |   0.71508   23.19076  
8.0   8   0.0500   |   0.29738   1.10198   |   3.02354   22.42487  
9.0   9   0.0500   |   0.29299   1.12429   |   3.09264   23.17035  
10.0   10   0.0500   |   0.29437   1.53984   |   1.79490   23.28424  
11.0   11   0.0500   |   0.25753   0.74715   |   3.90683   23.49635  
12.0   12   0.0500   |   0.24508   0.74822   |   3.56608   22.98655  
13.0   13   0.0500   |   0.17917   2.04967   |   2.75988   21.25048  
14.0   14   0.0500   |   0.26989   2.41501   |   2.72929   19.74825  
15.0   15   0.0500   |   0.15298   19.04490   |   2.48032   23.23306  
16.0   16   0.0500   |   0.14969   0.64453   |   3.94128   21.52303  
17.0   17   0.0500   |   0.27896   2.37385   |   4.80774   19.44036  
18.0   18   0.0500   |   0.28115   1.85794   |   3.25572   17.91066  
19.0   19   0.0500   |   0.16150   0.70186   |   2.56153   22.19154  
20.0   20   0.0500   |   0.24502   1.12610   |   3.14827   20.23992  
21.0   21   0.0500   |   0.26925   0.84476   |   0.94896   18.28600  
22.0   22   0.0500   |   0.20895   1.56420   |   4.27418   18.97861  
23.0   23   0.0500   |   0.17896   2.58035   |   1.26061   14.12542  
24.0   24   0.0500   |   0.18482   1.20048   |   1.20883   16.15347  
25.0   25   0.0500   |   0.30534   0.62362   |   4.22065   17.09912  
26.0   26   0.0500   |   0.20557   1.89086   |   3.99541   20.39544  
27.0   27   0.0500   |   0.18412   0.90917   |   0.93142   16.98135  
28.0   28   0.0500   |   0.26370   1.04071   |   1.42080   19.12012  
29.0   29   0.0500   |   0.19814   1.14422   |   0.96945   20.35422  
30.0   30   0.0500   |   0.38965   0.49269   |   2.77212   20.56871  
31.0   31   0.0500   |   0.37263   0.46462   |   5.64688   19.44285  
32.0   32   0.0500   |   0.26081   2.45696   |   1.16789   20.99216  
33.0   33   0.0500   |   0.23479   0.65616   |   1.66092   16.91976  
34.0   34   0.0500   |   0.31788   0.67206   |   4.64433   17.45398  
35.0   35   0.0500   |   0.25938   0.66633   |   0.84649   20.79794  
36.0   36   0.0500   |   0.33569   1.60433   |   3.28998   16.75736  
37.0   37   0.0500   |   0.31932   0.39240   |   1.20288   18.98067  
38.0   38   0.0500   |   0.29363   0.40417   |   0.28101   17.62301  
39.0   39   0.0500   |   0.23606   0.93338   |   0.00006   15.48820  
40.0   40   0.0500   |   0.24558   0.45677   |   3.42867   16.60647  
41.0   41   0.0500   |   0.26041   0.66563   |   0.43697   14.18771  
42.0   42   0.0500   |   0.26151   0.40656   |   0.00088   11.36255  
43.0   43   0.0500   |   0.23565   0.34943   |   0.28429   12.55208  
44.0   44   0.0500   |   0.32646   2.97947   |   4.07123   19.28549  
45.0   45   0.0500   |   0.26931   0.43533   |   1.37415   18.30144  
46.0   46   0.0500   |   0.27630   1.40326   |   1.74211   18.21474  
47.0   47   0.0500   |   0.18230   0.48271   |   0.99965   14.63158  
48.0   48   0.0500   |   0.17969   0.84362   |   1.68435   16.62550  
49.0   49   0.0500   |   0.20443   0.52908   |   1.56400   13.62385  
50.0   50   0.0500   |   0.17694   0.90367   |   9.98085   15.75739  
51.0   51   0.0500   |   0.20983   0.66717   |   0.42004   14.29731  
52.0   52   0.0500   |   0.20391   0.88789   |   2.96218   11.81108  
53.0   53   0.0500   |   0.24148   0.61371   |   1.50689   15.14109  
54.0   54   0.0500   |   0.16599   0.74474   |   0.87558   14.76949  
55.0   55   0.0500   |   0.16510   0.36072   |   0.99209   13.44069  
56.0   56   0.0500   |   0.21075   0.59764   |   0.93804   14.16039  
57.0   57   0.0500   |   0.15779   0.30220   |   1.36331   12.20027  
